id,title,alternative_title,year,pages,abstract,file_url,image_url,type,status
D100,Thực hành sửa chữa màn hình tinh thể lỏng /Vân Anh,,2009,659 tr. :Minh họa ;24 cm,"Nội dung tài liệu phân tích các vấn đề liên quan đến Thực hành sửa chữa màn hình tinh thể lỏng , đồng thời đề xuất các hướng ứng dụng trong lĩnh vực nghiên cứu chuyên ngành. Nội dung được xây dựng dựa trên việc hệ thống hóa kiến thức chuyên ngành kết hợp với các ví dụ minh họa thực tế. Nghiên cứu góp phần cung cấp nền tảng kiến thức phục vụ cho việc học tập và phát triển chuyên môn.",https://nptlqeeptrtmbuqriibb.supabase.co/storage/v1/object/public/document/D100.pdf,https://nptlqeeptrtmbuqriibb.supabase.co/storage/v1/object/public/image/D100.jpg,Book,active
D101,Hóa sinh thực phẩm /Đàm Sao Mai (chủ biên) và nhóm tác giả,,2009,309 tr.,"Tài liệu tập trung nghiên cứu về Hóa sinh thực phẩm , trình bày các cơ sở lý thuyết và phương pháp tiếp cận trong lĩnh vực lĩnh vực nghiên cứu chuyên ngành. Nội dung được xây dựng dựa trên việc hệ thống hóa kiến thức chuyên ngành kết hợp với các ví dụ minh họa thực tế. Kết quả của tài liệu có giá trị tham khảo đối với sinh viên, giảng viên và các nhà nghiên cứu trong lĩnh vực liên quan.",https://nptlqeeptrtmbuqriibb.supabase.co/storage/v1/object/public/document/D101.pdf,https://nptlqeeptrtmbuqriibb.supabase.co/storage/v1/object/public/image/D101.jpg,Book,active
D102,"Giáo trình Quản lý chất lượng và luật thực phẩm /Lê Nguyên Đoan Huy, Nguyễn Công Hà",,2014,194 tr.,"Nội dung tài liệu phân tích các vấn đề liên quan đến Giáo trình Quản lý chất lượng và luật thực phẩm , đồng thời đề xuất các hướng ứng dụng trong lĩnh vực nghiên cứu chuyên ngành. Tài liệu sử dụng phương pháp phân tích và tổng hợp tài liệu nhằm làm rõ các khái niệm, nguyên lý và kỹ thuật liên quan. Nội dung tài liệu hỗ trợ người đọc tiếp cận các xu hướng nghiên cứu và ứng dụng hiện đại trong môi trường học thuật.",https://nptlqeeptrtmbuqriibb.supabase.co/storage/v1/object/public/document/D102.pdf,https://nptlqeeptrtmbuqriibb.supabase.co/storage/v1/object/public/image/D102.jpg,Book,active
D103,Giáo trình giảng dạy bậc đại học: Hành vi người tiêu dùng - Định hướng ứng dụng /Hồ Huy Tựu,,2026,222 tr,"Nội dung tài liệu phân tích các vấn đề liên quan đến Giáo trình giảng dạy bậc đại học: Hành vi người tiêu dùng - Định hướng ứng dụng , đồng thời đề xuất các hướng ứng dụng trong lĩnh vực nghiên cứu chuyên ngành. Tài liệu kết hợp giữa cơ sở học thuật và các tình huống ứng dụng nhằm nâng cao khả năng tiếp cận và triển khai thực tế. Kết quả của tài liệu có giá trị tham khảo đối với sinh viên, giảng viên và các nhà nghiên cứu trong lĩnh vực liên quan.",https://nptlqeeptrtmbuqriibb.supabase.co/storage/v1/object/public/document/D103.pdf,https://nptlqeeptrtmbuqriibb.supabase.co/storage/v1/object/public/image/D103.jpg,Book,active
D104,Miễn dịch học /Đại học Y Hà Nội,,2025,216 tr,"Nghiên cứu này trình bày các khía cạnh chuyên môn của Miễn dịch học , kết hợp giữa nền tảng lý thuyết và ứng dụng thực tiễn trong lĩnh vực nghiên cứu chuyên ngành. Tài liệu sử dụng phương pháp phân tích và tổng hợp tài liệu nhằm làm rõ các khái niệm, nguyên lý và kỹ thuật liên quan. Tài liệu có thể được sử dụng như nguồn tham khảo trong học tập, nghiên cứu và triển khai các hệ thống thực tế.",https://nptlqeeptrtmbuqriibb.supabase.co/storage/v1/object/public/document/D104.pdf,https://nptlqeeptrtmbuqriibb.supabase.co/storage/v1/object/public/image/D104.jpg,Book,active
D105,Dinh dưỡng trong nuôi trồng thủy sản /Phạm Đức Hùng,,2024,775tr :Hình ảnh ;24cm,"Tài liệu cung cấp cái nhìn tổng quan về Dinh dưỡng trong nuôi trồng thủy sản , bao gồm các mô hình, kỹ thuật và xu hướng phát triển trong lĩnh vực nghiên cứu chuyên ngành. Nội dung được xây dựng dựa trên việc hệ thống hóa kiến thức chuyên ngành kết hợp với các ví dụ minh họa thực tế. Nội dung tài liệu hỗ trợ người đọc tiếp cận các xu hướng nghiên cứu và ứng dụng hiện đại trong môi trường học thuật.",https://nptlqeeptrtmbuqriibb.supabase.co/storage/v1/object/public/document/D105.pdf,https://nptlqeeptrtmbuqriibb.supabase.co/storage/v1/object/public/image/D105.jpg,Book,active
D106,Phân tích tài chính doanh nghiệp /Võ Văn Cần,,2024,116tr :Bảng biểu ;21cm,"Nghiên cứu này trình bày các khía cạnh chuyên môn của Phân tích tài chính doanh nghiệp , kết hợp giữa nền tảng lý thuyết và ứng dụng thực tiễn trong lĩnh vực nghiên cứu chuyên ngành. Nghiên cứu áp dụng các mô hình và phương pháp đánh giá phổ biến nhằm phân tích hiệu quả của các giải pháp được đề cập. Nội dung tài liệu hỗ trợ người đọc tiếp cận các xu hướng nghiên cứu và ứng dụng hiện đại trong môi trường học thuật.",https://nptlqeeptrtmbuqriibb.supabase.co/storage/v1/object/public/document/D106.pdf,https://nptlqeeptrtmbuqriibb.supabase.co/storage/v1/object/public/image/D106.jpg,Book,active
D107,Bài giảng Quản lý và khai thác cảng (Tài liệu lưu hành nội bộ) /Hồ Đức Tuấn,,2015,93 tr.,"Tài liệu tập trung nghiên cứu về Bài giảng Quản lý và khai thác cảng (Tài liệu lưu hành nội bộ) , trình bày các cơ sở lý thuyết và phương pháp tiếp cận trong lĩnh vực trí tuệ nhân tạo. Nội dung được xây dựng dựa trên việc hệ thống hóa kiến thức chuyên ngành kết hợp với các ví dụ minh họa thực tế. Nghiên cứu góp phần cung cấp nền tảng kiến thức phục vụ cho việc học tập và phát triển chuyên môn.",https://nptlqeeptrtmbuqriibb.supabase.co/storage/v1/object/public/document/D107.pdf,https://nptlqeeptrtmbuqriibb.supabase.co/storage/v1/object/public/image/D107.jpg,Book,active
D108,Cảng nội địa (Lưu hành nội bộ) /Bộ môn Khoa học Hàng hải,Inland Clearance Depot,2024,98 tr.,"Nghiên cứu này trình bày các khía cạnh chuyên môn của Cảng nội địa (Lưu hành nội bộ) , kết hợp giữa nền tảng lý thuyết và ứng dụng thực tiễn trong lĩnh vực nghiên cứu chuyên ngành. Nội dung được xây dựng dựa trên việc hệ thống hóa kiến thức chuyên ngành kết hợp với các ví dụ minh họa thực tế. Nội dung tài liệu hỗ trợ người đọc tiếp cận các xu hướng nghiên cứu và ứng dụng hiện đại trong môi trường học thuật.",https://nptlqeeptrtmbuqriibb.supabase.co/storage/v1/object/public/document/D108.pdf,https://nptlqeeptrtmbuqriibb.supabase.co/storage/v1/object/public/image/D108.jpg,Book,active
D109,Giám định hàng hải:Tài liệu tham khảo /Nguyễn Thái Vũ,,2019,346tr : ;24 cm,"Nghiên cứu này trình bày các khía cạnh chuyên môn của Giám định hàng hải: Tài liệu tham khảo , kết hợp giữa nền tảng lý thuyết và ứng dụng thực tiễn trong lĩnh vực nghiên cứu chuyên ngành. Nội dung được xây dựng dựa trên việc hệ thống hóa kiến thức chuyên ngành kết hợp với các ví dụ minh họa thực tế. Tài liệu có thể được sử dụng như nguồn tham khảo trong học tập, nghiên cứu và triển khai các hệ thống thực tế.",https://nptlqeeptrtmbuqriibb.supabase.co/storage/v1/object/public/document/D109.pdf,https://nptlqeeptrtmbuqriibb.supabase.co/storage/v1/object/public/image/D109.jpg,Book,active
